Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_HREG_WASH_ACTION,Wash Yourself,Wash Yourself,Wash Yourself,sich waschen,Помыться,Wash Yourself,Wash Yourself,Wash Yourself,Lavarse,Se laver,Wash Yourself,Wash Yourself,Se lavar,Wash Yourself
STR_HREG_CLEAN_ACTION,Clean Yourself,Clean Yourself,Clean Yourself,sich reinigen,Стереть крупную грязь,Clean Yourself,Clean Yourself,Clean Yourself,Limpiarse,Se nettoyer,Clean Yourself,Clean Yourself,Se limpar,Clean Yourself
STR_HREG_CLEANING_WIPES0,Cleaning Wipes,Cleaning Wipes,Cleaning Wipes,Reinigungstücher,Влажные салфетки,Cleaning Wipes,Cleaning Wipes,Cleaning Wipes,Toallitas Higienicas,Lingettes Nettoyantes,Cleaning Wipes,Cleaning Wipes,Lenço umedecido,Cleaning Wipes
STR_HREG_CLEANING_WIPES1,The friend of all hikers ! Do a quick clean with these wipes.,The friend of all hikers ! Do a quick clean with these wipes.,The friend of all hikers ! Do a quick clean with these wipes.,Freund aller Wanderer! Mache eine schnelle Reinigung mit diesen Tüchern.,Друг всех походников! Помогает быстро очистить себя.,The friend of all hikers ! Do a quick clean with these wipes.,The friend of all hikers ! Do a quick clean with these wipes.,The friend of all hikers ! Do a quick clean with these wipes.,¡El amigo de todos los excursionistas!  Limpiate rapidamente con estas toallitas.,L’ami du randonneur ! Faites une rapide toilette avec ces lingettes.,The friend of all hikers ! Do a quick clean with these wipes.,The friend of all hikers ! Do a quick clean with these wipes.,"O amigo para bons andarilhos, faça rápidas limpezas emergenciais com esses lenços.",The friend of all hikers ! Do a quick clean with these wipes.
STR_HREG_IMMUNEBOOST_TITLE,Immunity Booster,Immunity Booster,Immunity Booster,Immunity Booster,Бонус иммунитета,Immunity Booster,Immunity Booster,Immunity Booster,Refuerzo de la inmunidad,Booster d'Immunité,Immunity Booster,Immunity Booster,Reforço de Imunidade,Immunity Booster
STR_HREG_IMMUNEBOOST_MESSAGE,Your character benefits from a random immunity boost due to his cleanliness.,Your character benefits from a random immunity boost due to his cleanliness.,Your character benefits from a random immunity boost due to his cleanliness.,Your character benefits from a random immunity boost due to his cleanliness.,Из за чисто вымытого тела вы получаете бонус к иммунитету,Your character benefits from a random immunity boost due to his cleanliness.,Your character benefits from a random immunity boost due to his cleanliness.,Your character benefits from a random immunity boost due to his cleanliness.,Tu personaje se beneficia de un aumento de inmunidad aleatoria debido a su buena higiene.,Votre personnage bénéficie d'un boost d'immunité aléatoire grace à sa propreté.,Your character benefits from a random immunity boost due to his cleanliness.,Your character benefits from a random immunity boost due to his cleanliness.,Seu personagem recebe um aumento aleatório na imunidade por estar limpo.,Your character benefits from a random immunity boost due to his cleanliness.
STR_HREG_IMMUNELEVEL_GREAT,Immunity : Great,Immunity : Great,Immunity : Great,Immunity : Great,Иммунитет: Отличный,Immunity : Great,Immunity : Great,Immunity : Great,Inmunidad : Genial,Immunité : Excellente,Immunity : Great,Immunity : Great,Immunity : Great,Immunity : Great
STR_HREG_IMMUNELEVEL_HIGH,Immunity : High,Immunity : High,Immunity : High,Immunity : High,Иммунитет: Высокий,Immunity : High,Immunity : High,Immunity : High,Inmunidad : Alta,Immunité : Elevée,Immunity : High,Immunity : High,Immunity : High,Immunity : High
STR_HREG_IMMUNELEVEL_MEDIUM,Immunity : Medium,Immunity : Medium,Immunity : Medium,Immunity : Medium,Иммунитет: Средний,Immunity : Medium,Immunity : Medium,Immunity : Medium,Inmunidad : Media,Immunité : Moyenne,Immunity : Medium,Immunity : Medium,Immunity : Medium,Immunity : Medium
STR_HREG_IMMUNELEVEL_LOW,Immunity : Low,Immunity : Low,Immunity : Low,Immunity : Low,Иммунитет: Низкий,Immunity : Low,Immunity : Low,Immunity : Low,Inmunidad : Baja,Immunité : Basse,Immunity : Low,Immunity : Low,Immunity : Low,Immunity : Low
STR_HREG_IMMUNELEVEL_CRITICAL,Immunity : Critical,Immunity : Critical,Immunity : Critical,Immunity : Critical,Иммунитет: Критический,Immunity : Critical,Immunity : Critical,Immunity : Critical,Inmunidad : Critica,Immunité : Critique,Immunity : Critical,Immunity : Critical,Immunity : Critical,Immunity : Critical
STR_HREG_MEDICALREPORT_TITLE,Medical Report,Medical Report,Medical Report,Medical Report,Медицинский отчёт,Medical Report,Medical Report,Medical Report,Reporte Medico,Rapport Medical,Medical Report,Medical Report,Medical Report,Medical Report
STR_HREG_MEDICALREPORT_MESSAGE,This is the medical report of your character :,This is the medical report of your character :,This is the medical report of your character :,This is the medical report of your character :,Это медицинский отчёт о вашем состоянии :,This is the medical report of your character :,This is the medical report of your character :,This is the medical report of your character :,Este es el informe médico de su personaje :,Ceci est le rapport médical de votre personnage :,This is the medical report of your character :,This is the medical report of your character :,This is the medical report of your character :,This is the medical report of your character :
STR_HREG_MEDICALREPORT_DISEASES,Diseases :,Diseases :,Diseases :,Diseases :,Болезни :,Diseases :,Diseases :,Diseases :,Enfermedades,Maladies :,Diseases :,Diseases :,Diseases :,Diseases :
STR_HREG_MEDICALREPORT_DICEASES_NONE,Diseases : no disease found,Diseases : no disease found,Diseases : no disease found,Diseases : no disease found,Болезни : ничего не обнаружено,Diseases : no disease found,Diseases : no disease found,Diseases : no disease found,Enfermedades : no se ha encontrado ninguna enfermedad,Maladies : Aucune,Diseases : no disease found,Diseases : no disease found,Diseases : no disease found,Diseases : no disease found
STR_HREG_DISEASE_CHOLERA,Cholera,Cholera,Cholera,Cholera,Холера,Cholera,Cholera,Cholera,Cólera,Cholera,Cholera,Cholera,Cholera,Cholera
STR_HREG_DISEASE_INFLUENZA,Influenza,Influenza,Influenza,Influenza,Грипп,Influenza,Influenza,Influenza,Gripe,Grippe,Influenza,Influenza,Influenza,Influenza
STR_HREG_DISEASE_SALMONELLA,Salmonella,Salmonella,Salmonella,Salmonella,Сальмонелла,Salmonella,Salmonella,Salmonella,Salmonela,Salmonellose,Salmonella,Salmonella,Salmonella,Salmonella
STR_HREG_DISEASE_BRAIN,Brain disease,Brain disease,Brain disease,Brain disease,Поражение мозга,Brain disease,Brain disease,Brain disease,Enfermedad Mental,Maladie mentale,Brain disease,Brain disease,Brain disease,Brain disease
STR_HREG_DISEASE_FOOD_POISON,Food poisoning,Food poisoning,Food poisoning,Food poisoning,Пищевое отравление,Food poisoning,Food poisoning,Food poisoning,Envenenamiento Alimenticio,Intoxication alimentaire,Food poisoning,Food poisoning,Food poisoning,Food poisoning
STR_HREG_DISEASE_CHEMICAL_POISON,Chemical Poisoning,Chemical Poisoning,Chemical Poisoning,Chemical Poisoning,Химическое отравление,Chemical Poisoning,Chemical Poisoning,Chemical Poisoning,Envenenamiento Quimico,Empoisonnement chimique,Chemical Poisoning,Chemical Poisoning,Chemical Poisoning,Chemical Poisoning
STR_HREG_DISEASE_WOUNDS,Wound infections,Wound infections,Wound infections,Wound infections,Заражение раны,Wound infections,Wound infections,Wound infections,Infeccion por herida,Infections cutanées,Wound infections,Wound infections,Wound infections,Wound infections
STR_HREG_DISEASE_NERVE,Nerve trouble,Nerve trouble,Nerve trouble,Nerve trouble,Нервное поражение,Nerve trouble,Nerve trouble,Nerve trouble,Problemas nerviosos,Troubles nerveux,Nerve trouble,Nerve trouble,Nerve trouble,Nerve trouble
STR_HREG_DISEASE_RABIES,Rabies,Rabies,Rabies,Rabies,Rabies,Rabies,Rabies,Rabies,Rabia,Rage,Rabies,Rabies,Rabies,Rabies
STR_HREG_ITEM_RABIES_VACCINE0,Rabies Vaccine,Rabies Vaccine,Rabies Vaccine,Rabies Vaccine,Rabies Vaccine,Rabies Vaccine,Rabies Vaccine,Rabies Vaccine,Vacuna de la rabia,Vaccin Anti-Rabique,Rabies Vaccine,Rabies Vaccine,Rabies Vaccine,Rabies Vaccine
STR_HREG_ITEM_RABIES_VACCINE1,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,Una vacuna para curar la enfermedad de la rabia. Su eficacia no esta garantizada si no es utilizada a las horas siguientes de la mordedura.,Un vaccin pour le traitement curatif de la rage. L'efficacité n'est pas optimale si le vaccin n'est pas administré dans les heures qui suivent la morsure suspecte.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.,A vaccine for the curative treatment of rabies. Efficacy is not optimal if the vaccine is not given within hours of the suspected bite.
